Algorithm,Operation,intits,maxBytes,maxHeap,extHeap,maxStack
BIKE-L1,keygen,2622298.0,42648.0,6844.0,44.0,35760.0
BIKE-L1,encaps,3108450.7333333334,34536.0,8449.0,71.0,26016.0
BIKE-L1,decaps,1977365.4,85808.0,8481.0,79.0,77248.0
BIKE-L3,keygen,3753521.3333333335,82744.0,13268.0,36.0,69440.0
BIKE-L3,encaps,5242103.0,67176.0,16415.0,57.0,50704.0
BIKE-L3,decaps,1981946.3333333333,168928.0,16447.0,65.0,152416.0
BIKE-L5,keygen,6511573.666666667,154920.0,21696.0,40.0,133184.0
BIKE-L5,encaps,10439802.0,122664.0,26882.0,70.0,95712.0
BIKE-L5,decaps,1987055.3333333333,318864.0,26914.0,78.0,291872.0
Classic-McEliece-348864,keygen,500733773.1,2571528.0,267652.0,36.0,2303840.0
Classic-McEliece-348864,encaps,1972042.1666666667,276536.0,272380.0,76.0,4080.0
Classic-McEliece-348864,decaps,2073969.6666666667,302800.0,267844.0,60.0,34896.0
Classic-McEliece-348864f,keygen,442335203.0,2571528.0,267652.0,36.0,2303840.0
Classic-McEliece-348864f,encaps,1972280.3333333333,276536.0,272380.0,76.0,4080.0
Classic-McEliece-348864f,decaps,2074207.3333333333,302800.0,267844.0,60.0,34896.0
Classic-McEliece-460896,keygen,1671105461.3666666,2749224.0,537808.0,24.0,2211392.0
Classic-McEliece-460896,encaps,1965472.3333333333,543784.0,542596.0,68.0,1120.0
Classic-McEliece-460896,decaps,2144211.3333333335,600192.0,538060.0,52.0,62080.0
Classic-McEliece-460896f,keygen,1308827330.3333333,2749224.0,537808.0,24.0,2211392.0
Classic-McEliece-460896f,encaps,1965709.3333333333,543784.0,542596.0,68.0,1120.0
Classic-McEliece-460896f,decaps,2144448.6666666665,600192.0,538060.0,52.0,62080.0
Classic-McEliece-6688128,keygen,3051588938.8,3270856.0,1058964.0,36.0,2211856.0
Classic-McEliece-6688128,encaps,1972149.5,1070360.0,1063804.0,76.0,6480.0
Classic-McEliece-6688128,decaps,2149095.1666666665,1135312.0,1059268.0,60.0,75984.0
Classic-McEliece-6688128f,keygen,2475382613.6666665,3270856.0,1058964.0,36.0,2211856.0
Classic-McEliece-6688128f,encaps,1972402.3333333333,1070360.0,1063804.0,76.0,6480.0
Classic-McEliece-6688128f,decaps,2149348.6666666665,1135312.0,1059268.0,60.0,75984.0
Classic-McEliece-6960119,keygen,2836564210.133333,3273192.0,1061307.0,45.0,2211840.0
Classic-McEliece-6960119,encaps,1973291.0,1072584.0,1066133.0,99.0,6352.0
Classic-McEliece-6960119,decaps,2147449.0,1124384.0,1061597.0,83.0,62704.0
Classic-McEliece-6960119f,keygen,2268346782.0,3273192.0,1061307.0,45.0,2211840.0
Classic-McEliece-6960119f,encaps,1973544.3333333333,1072584.0,1066133.0,99.0,6352.0
Classic-McEliece-6960119f,decaps,2147701.3333333335,1124384.0,1061597.0,83.0,62704.0
Classic-McEliece-8192128,keygen,3493673209.9666667,3584040.0,1371984.0,24.0,2212032.0
Classic-McEliece-8192128,encaps,1963369.8333333333,1372520.0,1371984.0,24.0,512.0
Classic-McEliece-8192128,decaps,2146840.5,1447680.0,1372288.0,48.0,75344.0
Classic-McEliece-8192128f,keygen,2851202415.0,3584040.0,1371984.0,24.0,2212032.0
Classic-McEliece-8192128f,encaps,1963622.6666666667,1372520.0,1371984.0,24.0,512.0
Classic-McEliece-8192128f,decaps,2147093.3333333335,1447680.0,1372288.0,48.0,75344.0
HQC-128,keygen,2402676.8,53744.0,5114.0,86.0,48544.0
HQC-128,encaps,2470093.066666667,73376.0,9227.0,85.0,64064.0
HQC-128,decaps,3504403.6666666665,80232.0,9291.0,93.0,70848.0
HQC-192,keygen,2804703.6,105728.0,9228.0,52.0,96448.0
HQC-192,encaps,2935796.6,146416.0,18318.0,82.0,128016.0
HQC-192,decaps,5246922.666666667,160088.0,18382.0,90.0,141616.0
HQC-256,keygen,3239512.4,168560.0,14674.0,46.0,153840.0
HQC-256,encaps,3404995.4,233760.0,29207.0,73.0,204480.0
HQC-256,decaps,8037887.733333333,255592.0,29271.0,81.0,226240.0
Kyber512,keygen,1964997.3333333333,14048.0,7080.0,48.0,6920.0
Kyber512,encaps,2014707.6666666667,15004.0,3560.0,60.0,11384.0
Kyber512,decaps,2049958.3333333333,15828.0,3592.0,68.0,12168.0
Kyber768,keygen,1965149.1666666667,19448.0,8232.0,48.0,11168.0
Kyber768,encaps,2025712.5,21360.0,5144.0,80.0,16136.0
Kyber768,decaps,2070302.1666666667,22504.0,5176.0,88.0,17240.0
Kyber1024,keygen,1965322.0,25880.0,9384.0,48.0,16448.0
Kyber1024,encaps,2168614.066666667,28536.0,6748.0,68.0,21720.0
Kyber1024,decaps,2224484.566666667,30160.0,6780.0,76.0,23304.0
Kyber512-90s,keygen,1964910.6666666667,13784.0,7080.0,48.0,6656.0
Kyber512-90s,encaps,2024332.0,15088.0,3808.0,80.0,11200.0
Kyber512-90s,decaps,2109745.3333333335,15912.0,3840.0,88.0,11984.0
Kyber768-90s,keygen,1965062.0,19048.0,8232.0,48.0,10768.0
Kyber768-90s,encaps,2035042.3333333333,21136.0,5280.0,80.0,15776.0
Kyber768-90s,decaps,2146220.3333333335,22280.0,5312.0,88.0,16880.0
Kyber1024-90s,keygen,1965240.6666666667,25384.0,9384.0,48.0,15952.0
Kyber1024-90s,encaps,2309693.1333333333,28280.0,7080.0,96.0,21104.0
Kyber1024-90s,decaps,2448594.466666667,29904.0,7112.0,104.0,22688.0
sntrup761,keygen,8994164.0,16360.0,7569.0,71.0,8720.0
sntrup761,encaps,2002037.0,15496.0,8640.0,88.0,6768.0
sntrup761,decaps,3549201.3333333335,15936.0,4104.0,72.0,11760.0
FrodoKEM-640-AES,keygen,2463629.0,72352.0,29648.0,32.0,42672.0
FrodoKEM-640-AES,encaps,2687860.0,123424.0,39816.0,88.0,83520.0
FrodoKEM-640-AES,decaps,2983878.6666666665,142792.0,39400.0,64.0,103328.0
FrodoKEM-640-SHAKE,keygen,2463035.6666666665,67408.0,30416.0,64.0,36928.0
FrodoKEM-640-SHAKE,encaps,2682646.6666666665,98880.0,40152.0,72.0,58656.0
FrodoKEM-640-SHAKE,decaps,2982605.6666666665,119528.0,40168.0,96.0,79264.0
FrodoKEM-976-AES,keygen,2871282.3333333335,111728.0,47504.0,64.0,64160.0
FrodoKEM-976-AES,encaps,3292284.0,189328.0,62840.0,56.0,126432.0
FrodoKEM-976-AES,decaps,3516370.3333333335,220856.0,62864.0,72.0,157920.0
FrodoKEM-976-SHAKE,keygen,2867197.3333333335,103648.0,47840.0,48.0,55760.0
FrodoKEM-976-SHAKE,encaps,3290167.3333333335,153264.0,63608.0,72.0,89584.0
FrodoKEM-976-SHAKE,decaps,3514256.6666666665,184792.0,63632.0,88.0,121072.0
FrodoKEM-1344-AES,keygen,3183958.3333333335,151728.0,64752.0,32.0,86944.0
FrodoKEM-1344-AES,encaps,3767228.6666666665,260112.0,86416.0,48.0,173648.0
FrodoKEM-1344-AES,decaps,4070479.6666666665,303432.0,86448.0,56.0,216928.0
