Algorithm,Operation,intits,maxBytes,maxHeap,extHeap,maxStack
BIKE-L1,Keygen,2622302,42648,6844,44,35760
BIKE-L1,Encaps,3108444,34536,8449,71,26016
BIKE-L1,Decaps,1977365,85808,8481,79,77248
BIKE-L3,Keygen,3753525,82744,13268,36,69440
BIKE-L3,Encaps,5242101,67176,16415,57,50704
BIKE-L3,Decaps,1981944,168928,16447,65,152416
BIKE-L5,Keygen,6511576,154920,21696,40,133184
BIKE-L5,Encaps,10439800,122664,26882,70,95712
BIKE-L5,Decaps,1987059,318864,26914,78,291872
Classic-McEliece-348864,Keygen,502330308,2571528,267652,36,2303840
Classic-McEliece-348864,Encaps,1971802,276536,272380,76,4080
Classic-McEliece-348864,Decaps,2073735,302800,267844,60,34896
Classic-McEliece-348864f,Keygen,442335205,2571528,267652,36,2303840
Classic-McEliece-348864f,Encaps,1972277,276536,272380,76,4080
Classic-McEliece-348864f,Decaps,2074210,302800,267844,60,34896
Classic-McEliece-460896,Keygen,2014017383,2749224,537808,24,2211392
Classic-McEliece-460896,Encaps,1965233,543784,542596,68,1120
Classic-McEliece-460896,Decaps,2143977,600192,538060,52,62080
Classic-McEliece-460896f,Keygen,1308827328,2749224,537808,24,2211392
Classic-McEliece-460896f,Encaps,1965708,543784,542596,68,1120
Classic-McEliece-460896f,Decaps,2144442,600192,538060,52,62080
Classic-McEliece-6688128,Keygen,2926479630,3270856,1058964,36,2211856
Classic-McEliece-6688128,Encaps,1971895,1070360,1063804,76,6480
Classic-McEliece-6688128,Decaps,2148845,1135312,1059268,60,75984
Classic-McEliece-6688128f,Keygen,2475382612,3270856,1058964,36,2211856
Classic-McEliece-6688128f,Encaps,1972406,1070360,1063804,76,6480
Classic-McEliece-6688128f,Decaps,2149351,1135312,1059268,60,75984
Classic-McEliece-6960119,Keygen,2230067123,3273192,1061307,45,2211840
Classic-McEliece-6960119,Encaps,1973036,1072584,1066133,99,6352
Classic-McEliece-6960119,Decaps,2147189,1124384,1061597,83,62704
Classic-McEliece-6960119f,Keygen,2268346786,3273192,1061307,45,2211840
Classic-McEliece-6960119f,Encaps,1973547,1072584,1066133,99,6352
Classic-McEliece-6960119f,Decaps,2147705,1124384,1061597,83,62704
Classic-McEliece-8192128,Keygen,3911425622,3584040,1371984,24,2212032
Classic-McEliece-8192128,Encaps,1963115,1372520,1371984,24,512
Classic-McEliece-8192128,Decaps,2146585,1447680,1372288,48,75344
Classic-McEliece-8192128f,Keygen,2851202418,3584040,1371984,24,2212032
Classic-McEliece-8192128f,Encaps,1963626,1372520,1371984,24,512
Classic-McEliece-8192128f,Decaps,2147096,1447680,1372288,48,75344
HQC-128,Keygen,2388099,53744,5114,86,48544
HQC-128,Encaps,2487925,73376,9227,85,64064
HQC-128,Decaps,3507652,80232,9291,93,70848
HQC-192,Keygen,2774502,105728,9228,52,96448
HQC-192,Encaps,2925669,146416,18318,82,128016
HQC-192,Decaps,5206590,160088,18382,90,141616
HQC-256,Keygen,3285369,168560,14674,46,153840
HQC-256,Encaps,3427196,233760,29207,73,204480
HQC-256,Decaps,8105943,255592,29271,81,226240
Kyber512,Keygen,1965083,14312,7080,48,7184
Kyber512,Encaps,2005078,14920,3312,40,11568
Kyber512,Decaps,1990176,15744,3344,48,12352
Kyber768,Keygen,1965234,19848,8232,48,11568
Kyber768,Encaps,2016381,21584,5008,80,16496
Kyber768,Decaps,1994386,22728,5040,88,17600
Kyber1024,Keygen,1965400,26376,9384,48,16944
Kyber1024,Encaps,2027538,28792,6416,40,22336
Kyber1024,Decaps,2000372,30416,6448,48,23920
Kyber512-90s,Keygen,1964914,13784,7080,48,6656
Kyber512-90s,Encaps,2024335,15088,3808,80,11200
Kyber512-90s,Decaps,2109743,15912,3840,88,11984
Kyber768-90s,Keygen,1965064,19048,8232,48,10768
Kyber768-90s,Encaps,2035045,21136,5280,80,15776
Kyber768-90s,Decaps,2146223,22280,5312,88,16880
Kyber1024-90s,Keygen,1965244,25384,9384,48,15952
Kyber1024-90s,Encaps,2309542,28280,7080,96,21104
Kyber1024-90s,Decaps,2448447,29904,7112,104,22688
sntrup761,Keygen,8994161,16360,7569,71,8720
sntrup761,Encaps,2002035,15496,8640,88,6768
sntrup761,Decaps,3549203,15936,4104,72,11760
FrodoKEM-640-AES,Keygen,2463627,72352,29648,32,42672
FrodoKEM-640-AES,Encaps,2687863,123424,39816,88,83520
FrodoKEM-640-AES,Decaps,2983883,142792,39400,64,103328
FrodoKEM-640-SHAKE,Keygen,2463038,67408,30416,64,36928
FrodoKEM-640-SHAKE,Encaps,2682640,98880,40152,72,58656
FrodoKEM-640-SHAKE,Decaps,2982604,119528,40168,96,79264
FrodoKEM-976-AES,Keygen,2871286,111728,47504,64,64160
FrodoKEM-976-AES,Encaps,3292281,189328,62840,56,126432
FrodoKEM-976-AES,Decaps,3516374,220856,62864,72,157920
FrodoKEM-976-SHAKE,Keygen,2867201,103648,47840,48,55760
FrodoKEM-976-SHAKE,Encaps,3290170,153264,63608,72,89584
FrodoKEM-976-SHAKE,Decaps,3514255,184792,63632,88,121072
FrodoKEM-1344-AES,Keygen,3183961,151728,64752,32,86944
FrodoKEM-1344-AES,Encaps,3767231,260112,86416,48,173648
FrodoKEM-1344-AES,Decaps,4070483,303432,86448,56,216928
FrodoKEM-1344-SHAKE,Keygen,3183657,141984,65520,64,76400
FrodoKEM-1344-SHAKE,Encaps,3764218,210064,87184,80,122800
FrodoKEM-1344-SHAKE,Decaps,4067470,253384,87216,88,166080
