Algorithm,Operation,intits,maxBytes,maxHeap,extHeap,maxStack
Dilithium2,keypair,2347203.5,28136.0,9504.0,64.0,18568.0
Dilithium2,sign,2379091.0,57320.0,10380.0,128.0,46812.0
Dilithium2,verify,2382903.9,25916.0,7872.0,92.0,17952.0
Dilithium3,keypair,2347313.0,34856.0,11616.0,64.0,23176.0
Dilithium3,sign,2384264.0,87512.0,13365.0,119.0,74028.0
Dilithium3,verify,2391717.7,31468.0,10857.0,83.0,20528.0
Dilithium5,keypair,2347451.0,43528.0,13120.0,64.0,30344.0
Dilithium5,sign,2392828.0,126296.0,18039.0,129.0,108128.0
Dilithium5,verify,2401215.1333333333,39628.0,13663.0,93.0,25872.0
Dilithium2-AES,keypair,2347369.0,26088.0,9504.0,64.0,16520.0
Dilithium2-AES,sign,2375892.0,56984.0,12248.0,128.0,44608.0
Dilithium2-AES,verify,2355357.0,21816.0,7456.0,80.0,14280.0
Dilithium3-AES,keypair,2347469.0,32296.0,11616.0,64.0,20616.0
Dilithium3-AES,sign,2381043.0,84536.0,15233.0,119.0,69184.0
Dilithium3-AES,verify,2355755.0,26840.0,10441.0,71.0,16328.0
Dilithium5-AES,keypair,2347645.0,39944.0,13120.0,64.0,26760.0
Dilithium5-AES,sign,2393023.0,126264.0,18039.0,129.0,108096.0
Dilithium5-AES,verify,2355503.0,33944.0,13247.0,81.0,20616.0
Falcon-512,keypair,2347612.0,26888.0,7842.0,94.0,18952.0
Falcon-512,sign,2803220.0,49744.0,8632.0,136.0,40976.0
Falcon-512,verify,2349371.0,10824.0,8632.0,136.0,2056.0
Falcon-1024,keypair,2347712.0,46728.0,9762.0,94.0,36872.0
Falcon-1024,sign,3295354.0,92240.0,11192.0,136.0,80912.0
Falcon-1024,verify,3179343.6666666665,17168.0,6848.0,136.0,10184.0
SPHINCS+-Haraka-128f-robust,keypair,2347934.0,9272.0,5760.0,64.0,3448.0
SPHINCS+-Haraka-128f-robust,sign,2359876.0,42544.0,22948.0,92.0,19504.0
SPHINCS+-Haraka-128f-robust,verify,2349598.0,25080.0,22948.0,92.0,2040.0
SPHINCS+-Haraka-128f-simple,keypair,2348118.0,9272.0,5760.0,64.0,3448.0
SPHINCS+-Haraka-128f-simple,sign,2360060.0,42544.0,22948.0,92.0,19504.0
SPHINCS+-Haraka-128f-simple,verify,2349782.0,25080.0,22948.0,92.0,2040.0
SPHINCS+-Haraka-128s-robust,keypair,2348324.0,7928.0,5760.0,64.0,2104.0
SPHINCS+-Haraka-128s-robust,sign,2360268.0,24080.0,13716.0,92.0,10272.0
SPHINCS+-Haraka-128s-robust,verify,2349990.0,15848.0,13716.0,92.0,2040.0
SPHINCS+-Haraka-128s-simple,keypair,2348514.0,7928.0,5760.0,64.0,2104.0
SPHINCS+-Haraka-128s-simple,sign,2360458.0,24080.0,13716.0,92.0,10272.0
SPHINCS+-Haraka-128s-simple,verify,2350180.0,15848.0,13716.0,92.0,2040.0
SPHINCS+-Haraka-192f-robust,keypair,2348734.0,8040.0,5808.0,64.0,2168.0
SPHINCS+-Haraka-192f-robust,sign,2360694.0,79824.0,41572.0,92.0,38160.0
SPHINCS+-Haraka-192f-robust,verify,2350390.0,43704.0,41572.0,92.0,2040.0
SPHINCS+-Haraka-192f-simple,keypair,2348926.0,8040.0,5808.0,64.0,2168.0
SPHINCS+-Haraka-192f-simple,sign,2360886.0,79824.0,41572.0,92.0,38160.0
SPHINCS+-Haraka-192f-simple,verify,2350582.0,43704.0,41572.0,92.0,2040.0
SPHINCS+-Haraka-192s-robust,keypair,2349120.0,8040.0,5808.0,64.0,2168.0
SPHINCS+-Haraka-192s-robust,sign,2361080.0,40928.0,22132.0,92.0,18704.0
SPHINCS+-Haraka-192s-robust,verify,2350776.0,24264.0,22132.0,92.0,2040.0
SPHINCS+-Haraka-192s-simple,keypair,2349318.0,8040.0,5808.0,64.0,2168.0
SPHINCS+-Haraka-192s-simple,sign,2361278.0,40928.0,22132.0,92.0,18704.0
SPHINCS+-Haraka-192s-simple,verify,2350974.0,24264.0,22132.0,92.0,2040.0
SPHINCS+-Haraka-256f-robust,keypair,2890349.0,8584.0,1288.0,40.0,7256.0
SPHINCS+-Haraka-256f-robust,sign,2361664.0,108288.0,55812.0,92.0,52384.0
SPHINCS+-Haraka-256f-robust,verify,2351172.0,57944.0,55812.0,92.0,2040.0
SPHINCS+-Haraka-256f-simple,keypair,2838860.0,8584.0,1288.0,40.0,7256.0
SPHINCS+-Haraka-256f-simple,sign,2361856.0,108288.0,55812.0,92.0,52384.0
SPHINCS+-Haraka-256f-simple,verify,2351364.0,57944.0,55812.0,92.0,2040.0
SPHINCS+-Haraka-256s-robust,keypair,2890729.0,8856.0,1288.0,40.0,7528.0
SPHINCS+-Haraka-256s-robust,sign,2382328.0,69896.0,31180.0,68.0,38648.0
SPHINCS+-Haraka-256s-robust,verify,2351552.0,37880.0,35748.0,92.0,2040.0
SPHINCS+-Haraka-256s-simple,keypair,2839258.0,8856.0,1288.0,40.0,7528.0
SPHINCS+-Haraka-256s-simple,sign,2373974.0,69144.0,31180.0,68.0,37896.0
SPHINCS+-Haraka-256s-simple,verify,2351762.0,37880.0,35748.0,92.0,2040.0
SPHINCS+-SHA256-128f-robust,keypair,2370993.0,10968.0,1360.0,64.0,9544.0
SPHINCS+-SHA256-128f-robust,sign,2413385.0,30520.0,18548.0,92.0,11880.0
SPHINCS+-SHA256-128f-robust,verify,2351098.0,25080.0,22948.0,92.0,2040.0
SPHINCS+-SHA256-128f-simple,keypair,2363741.0,9112.0,1360.0,64.0,7688.0
SPHINCS+-SHA256-128f-simple,sign,2406944.0,28664.0,18548.0,92.0,10024.0
SPHINCS+-SHA256-128f-simple,verify,2351290.0,25080.0,22948.0,92.0,2040.0
SPHINCS+-SHA256-128s-robust,keypair,2371379.0,11192.0,1360.0,64.0,9768.0
SPHINCS+-SHA256-128s-robust,sign,2410269.0,22376.0,9316.0,92.0,12968.0
SPHINCS+-SHA256-128s-robust,verify,2351484.0,15848.0,13716.0,92.0,2040.0
SPHINCS+-SHA256-128s-simple,keypair,2364133.0,9336.0,1360.0,64.0,7912.0
SPHINCS+-SHA256-128s-simple,sign,2403834.0,20520.0,9316.0,92.0,11112.0
SPHINCS+-SHA256-128s-simple,verify,2351682.0,15848.0,13716.0,92.0,2040.0
SPHINCS+-SHA256-192f-robust,keypair,2371931.0,12104.0,1408.0,64.0,10632.0
SPHINCS+-SHA256-192f-robust,sign,2415504.0,51448.0,37172.0,92.0,14184.0
SPHINCS+-SHA256-192f-robust,verify,2351880.0,43704.0,41572.0,92.0,2040.0
SPHINCS+-SHA256-192f-simple,keypair,2364598.0,10056.0,1408.0,64.0,8584.0
SPHINCS+-SHA256-192f-simple,sign,2408982.0,49432.0,37172.0,92.0,12168.0
SPHINCS+-SHA256-192f-simple,verify,2352064.0,43704.0,41572.0,92.0,2040.0
SPHINCS+-SHA256-192s-robust,keypair,2372323.0,12424.0,1408.0,64.0,10952.0
SPHINCS+-SHA256-192s-robust,sign,2416760.0,33864.0,17732.0,92.0,16040.0
SPHINCS+-SHA256-192s-robust,verify,2352272.0,24264.0,22132.0,92.0,2040.0
SPHINCS+-SHA256-192s-simple,keypair,2364996.0,10408.0,1408.0,64.0,8936.0
SPHINCS+-SHA256-192s-simple,sign,2410244.0,31816.0,17732.0,92.0,13992.0
SPHINCS+-SHA256-192s-simple,verify,2352462.0,24264.0,22132.0,92.0,2040.0
SPHINCS+-SHA256-256f-robust,keypair,2373675.0,13560.0,1456.0,64.0,12040.0
SPHINCS+-SHA256-256f-robust,sign,2421018.0,67960.0,51412.0,92.0,16456.0
SPHINCS+-SHA256-256f-robust,verify,2395187.0,58664.0,51580.0,116.0,6968.0
SPHINCS+-SHA256-256f-simple,keypair,2365436.0,11320.0,1456.0,64.0,9800.0
SPHINCS+-SHA256-256f-simple,sign,2413590.0,65720.0,51412.0,92.0,14216.0
SPHINCS+-SHA256-256f-simple,verify,4284539.866666666,59224.0,51580.0,116.0,7528.0
SPHINCS+-SHA256-256s-robust,keypair,2374061.0,13848.0,1456.0,64.0,12328.0
SPHINCS+-SHA256-256s-robust,sign,2421306.0,49912.0,31348.0,92.0,18472.0
SPHINCS+-SHA256-256s-robust,verify,12143755.6,38840.0,31516.0,116.0,7208.0
SPHINCS+-SHA256-256s-simple,keypair,2365828.0,11576.0,1456.0,64.0,10056.0
SPHINCS+-SHA256-256s-simple,sign,2413884.0,47672.0,31348.0,92.0,16232.0
SPHINCS+-SHA256-256s-simple,verify,6023310.6,38840.0,31516.0,116.0,7208.0
SPHINCS+-SHAKE256-128f-robust,keypair,2350790.0,8056.0,5760.0,64.0,2232.0
SPHINCS+-SHAKE256-128f-robust,sign,2357479.0,41264.0,22948.0,92.0,18224.0
SPHINCS+-SHAKE256-128f-robust,verify,2352454.0,25080.0,22948.0,92.0,2040.0
SPHINCS+-SHAKE256-128f-simple,keypair,2350982.0,8056.0,5760.0,64.0,2232.0
SPHINCS+-SHAKE256-128f-simple,sign,2357671.0,41264.0,22948.0,92.0,18224.0
SPHINCS+-SHAKE256-128f-simple,verify,2352646.0,25080.0,22948.0,92.0,2040.0
SPHINCS+-SHAKE256-128s-robust,keypair,2351212.0,8120.0,5760.0,64.0,2296.0
SPHINCS+-SHAKE256-128s-robust,sign,2385657.0,23120.0,9980.0,108.0,13032.0
SPHINCS+-SHAKE256-128s-robust,verify,2352876.0,15848.0,13716.0,92.0,2040.0
SPHINCS+-SHAKE256-128s-simple,keypair,2351450.0,8120.0,5760.0,64.0,2296.0
SPHINCS+-SHAKE256-128s-simple,sign,2385895.0,23120.0,9980.0,108.0,13032.0
SPHINCS+-SHAKE256-128s-simple,verify,2353114.0,15848.0,13716.0,92.0,2040.0
SPHINCS+-SHAKE256-192f-robust,keypair,2351602.0,8040.0,5808.0,64.0,2168.0
SPHINCS+-SHAKE256-192f-robust,sign,2388675.0,79600.0,37836.0,92.0,41672.0
SPHINCS+-SHAKE256-192f-robust,verify,2353258.0,43704.0,41572.0,92.0,2040.0
SPHINCS+-SHAKE256-192f-simple,keypair,2351774.0,8040.0,5808.0,64.0,2168.0
SPHINCS+-SHAKE256-192f-simple,sign,2388847.0,79600.0,37836.0,92.0,41672.0
