Algorithm,Operation,Iterations,Total time (s),Time (us): mean,pop. stdev,High-prec time (ns): mean,pop. stdev.1
BIKE-L1,keygen,349.93333333333334,3.006933333333334,8593.312066666665,21.618466666666666,8593194.466666667,21584.066666666666
BIKE-L1,encaps,3724.5333333333333,3.0002666666666666,805.5632666666667,10.386333333333333,805446.2666666667,10367.733333333334
BIKE-L1,decaps,215.0,3.005666666666667,13979.732666666665,11.2,13979559.933333334,11171.666666666666
BIKE-L3,keygen,111.0,3.0018666666666673,27044.2774,13.736266666666667,27044160.933333334,13719.6
BIKE-L3,encaps,1302.0666666666666,3.000866666666666,2304.606666666666,6.398733333333334,2304475.466666667,6375.466666666666
BIKE-L3,decaps,68.0,3.0102666666666673,44267.102,24.120133333333335,44266858.333333336,24079.666666666668
BIKE-L5,keygen,44.0,3.039266666666667,69073.0212,28.782866666666663,69072893.66666667,28774.333333333332
BIKE-L5,encaps,521.2,3.0023333333333335,5760.473266666667,9.403466666666668,5760333.933333334,9396.733333333334
BIKE-L5,decaps,28.0,3.0580000000000003,109215.362,35.6778,109215225.46666667,35687.73333333333
Classic-McEliece-348864,keygen,6.533333333333333,3.118433333333334,482084.6138666666,38274.435999999994,482084247.0,38274469.03333333
Classic-McEliece-348864,encaps,5289.8,3.000066666666667,567.1687999999999,33.0843,567054.9666666667,33081.26666666667
Classic-McEliece-348864,decaps,6186.166666666667,3.0,484.9895000000001,5.490533333333333,484869.6,5467.5
Classic-McEliece-348864f,keygen,7.0,3.0210000000000004,431581.83813333337,5841.627600000001,431581537.53333336,5841726.733333333
Classic-McEliece-348864f,encaps,5290.066666666667,3.0000666666666667,567.1322,32.8598,567017.8,32855.53333333333
Classic-McEliece-348864f,decaps,6188.066666666667,3.0,484.8382666666667,5.612466666666665,484721.4666666667,5587.2
Classic-McEliece-460896,keygen,2.0,3.5927000000000002,1796316.2833333334,72129.18333333333,1796315822.9333334,72129122.13333334
Classic-McEliece-460896,encaps,2684.3,3.000533333333334,1117.8312333333333,71.28070000000001,1117668.9666666666,71277.93333333333
Classic-McEliece-460896,decaps,2443.6666666666665,3.000800000000001,1227.9718666666668,16.505633333333332,1227847.9,16494.433333333334
Classic-McEliece-460896f,keygen,2.0,3.3106666666666666,1655269.0333333334,3517.0333333333333,1655268403.2,3516825.6
