Algorithm,Operation,Iterations,Total time (s),Time (us): mean,pop. stdev,High-prec time (ns): mean,pop. stdev.1
Dilithium2,keypair,11438.433333333332,3.0,282.57506666666666,3.5020000000000002,282443.36666666664,3477.5333333333333
Dilithium2,sign,3771.7,3.000566666666667,920.9999333333332,557.8970333333333,920863.4333333333,557896.1333333333
Dilithium2,verify,12502.633333333333,3.0,264.1007333333334,2.5851333333333333,263983.8,2548.366666666667
Dilithium3,keypair,6437.966666666666,3.000066666666667,495.48726666666676,4.1335999999999995,495354.1,4114.333333333333
Dilithium3,sign,2412.0666666666666,3.001266666666667,1469.5419333333334,912.6731333333333,1469403.1666666667,912670.0666666667
Dilithium3,verify,7513.833333333333,3.0,438.70023333333336,3.125333333333333,438590.6,3094.9666666666667
Dilithium5,keypair,4203.8,3.0002333333333335,769.7868333333333,5.139333333333334,769650.1333333333,5121.6
Dilithium5,sign,1903.2,3.0012,1845.1743666666669,942.0345333333335,1845032.5,942028.5333333333
Dilithium5,verify,4383.266666666666,3.000266666666667,748.9316999999999,3.8377666666666665,748805.4,3814.266666666667
Dilithium2-AES,keypair,8373.266666666666,3.0,358.2981333333333,3.6665333333333336,358167.26666666666,3644.4666666666667
Dilithium2-AES,sign,2380.6666666666665,3.0009333333333332,1260.801533333333,783.5516666666666,1260664.8666666667,783549.5333333333
Dilithium2-AES,verify,8723.0,3.0,343.94559999999996,2.933333333333333,343836.73333333334,2902.133333333333
Dilithium3-AES,keypair,4868.0,3.000133333333333,616.3252666666666,4.8252,616191.3333333334,4809.2
Dilithium3-AES,sign,1468.2666666666667,3.002,2044.941866666667,1310.4148666666667,2044795.7333333334,1310413.2666666666
Dilithium3-AES,verify,5261.933333333333,3.0,570.1956666666667,3.591933333333334,570084.2,3564.9333333333334
Dilithium5-AES,keypair,3069.3333333333335,3.0003999999999995,977.5501333333335,5.8338,977410.9333333333,5816.266666666666
Dilithium5-AES,sign,1178.0,3.0014666666666665,2548.6372666666666,1364.4062000000001,2548489.1333333333,1364395.7333333334
Dilithium5-AES,verify,3097.8,3.0004,968.5910000000001,4.368,968469.4666666667,4348.0
Falcon-512,keypair,64.0,3.0312666666666668,47424.022866666666,14117.36746666667,47423885.333333336,14117368.466666667
Falcon-512,sign,222.0,3.003,13526.863266666669,28.837533333333333,13526729.866666667,28827.0
Falcon-512,verify,18674.266666666666,3.0,160.6535333333333,1.7326666666666666,160545.93333333332,1687.9333333333334
Falcon-1024,keypair,21.866666666666667,3.083266666666667,142227.62273333332,58013.36426666667,142227510.33333334,58013320.666666664
Falcon-1024,sign,101.46666666666667,3.007666666666667,29642.831266666668,1434.9422666666667,29642692.533333335,1434949.9333333333
Falcon-1024,verify,9186.933333333332,3.0,326.57526666666666,2.1902666666666666,326467.5333333333,2160.6
SPHINCS+-Haraka-128f-robust,keypair,210.0,3.0039999999999996,14304.871133333332,8.2278,14304738.8,8216.266666666666
SPHINCS+-Haraka-128f-robust,sign,9.0,3.2325999999999993,359175.51860000007,402.4788,359175331.06666666,402472.6
SPHINCS+-Haraka-128f-robust,verify,135.13333333333333,3.0073333333333334,22274.833333333336,13.258333333333331,22274711.066666666,13248.0
SPHINCS+-Haraka-128f-simple,keypair,369.0,3.0050000000000003,8143.744466666667,8.195933333333333,8143602.6,8182.0
SPHINCS+-Haraka-128f-simple,sign,15.0,3.0876666666666677,205841.09326666666,254.9372666666667,205840896.0,254940.6
SPHINCS+-Haraka-128f-simple,verify,241.66666666666666,3.0054,12441.805733333333,11.194733333333334,12441696.8,11184.8
SPHINCS+-Haraka-128s-robust,keypair,4.0,3.6403999999999996,910100.2666666667,297.0110666666667,910100211.2,296995.06666666665
SPHINCS+-Haraka-128s-robust,sign,1.0,7.123800000000001,7123797.8,0.0,7123797555.2,0.0
SPHINCS+-Haraka-128s-robust,verify,358.8666666666667,3.005066666666666,8380.520333333334,7.108733333333333,8380403.333333333,7101.2
SPHINCS+-Haraka-128s-simple,keypair,6.0,3.0946,515762.95546666667,212.81740000000002,515762804.6,212800.73333333334
SPHINCS+-Haraka-128s-simple,sign,1.0,4.093733333333334,4093643.2666666666,0.0,4093643042.133333,0.0
SPHINCS+-Haraka-128s-simple,verify,640.7333333333333,3.0019333333333336,4689.915866666666,5.517933333333333,4689797.6,5504.8
SPHINCS+-Haraka-192f-robust,keypair,142.73333333333332,3.0150000000000006,21123.344133333336,18.0566,21123212.2,18061.933333333334
SPHINCS+-Haraka-192f-robust,sign,5.0,3.0718666666666667,614352.6799999999,365.5310666666666,614352520.4,365609.06666666665
SPHINCS+-Haraka-192f-robust,verify,89.4,3.0156000000000005,33734.564933333335,19.012999999999998,33734445.4,18999.6
SPHINCS+-Haraka-192f-simple,keypair,251.0,3.0074666666666667,11981.670466666666,9.6508,11981537.533333333,9636.8
SPHINCS+-Haraka-192f-simple,sign,9.0,3.1358000000000006,348414.45933333336,274.2771333333333,348414321.8,274277.13333333336
SPHINCS+-Haraka-192f-simple,verify,164.4,3.0084666666666675,18303.070533333335,10.809866666666668,18302962.333333332,10801.133333333333
SPHINCS+-Haraka-192s-robust,keypair,3.0,4.0447999999999995,1348223.4666000002,316.10633333333334,1348223362.8666666,316094.4666666667
SPHINCS+-Haraka-192s-robust,sign,1.0,13.536066666666668,13536053.933333334,0.0,13536053913.6,0.0
SPHINCS+-Haraka-192s-robust,verify,235.06666666666666,3.0066666666666664,12794.108399999997,11.090800000000002,12793996.133333333,11085.266666666666
SPHINCS+-Haraka-192s-simple,keypair,4.0,3.046866666666666,761694.1,154.061,761693998.9333333,154048.33333333334
SPHINCS+-Haraka-192s-simple,sign,1.0,7.669466666666668,7669587.266666667,0.0,7669587148.8,0.0
SPHINCS+-Haraka-192s-simple,verify,433.8666666666667,3.0026,6922.326533333332,8.241800000000001,6922202.0,8229.8
SPHINCS+-Haraka-256f-robust,keypair,54.0,3.034,56186.94446666666,41.17680000000001,56186815.0,41161.26666666667
SPHINCS+-Haraka-256f-robust,sign,3.0,3.8244,1274817.0888666667,386.51820000000004,1274816768.0,386466.5333333333
SPHINCS+-Haraka-256f-robust,verify,83.8,3.0172666666666665,36011.43753333334,21.865066666666667,36011323.2,21842.133333333335
SPHINCS+-Haraka-256f-simple,keypair,94.2,3.0067999999999997,31919.767266666666,71.71833333333333,31919627.666666668,71732.2
SPHINCS+-Haraka-256f-simple,sign,5.0,3.6823333333333332,736483.5466666666,709.9689333333332,736483389.4666667,709952.1333333333
SPHINCS+-Haraka-256f-simple,verify,152.66666666666666,3.0090000000000003,19716.301333333333,46.35433333333333,19716193.266666666,46349.6
SPHINCS+-Haraka-256s-robust,keypair,4.0,3.5958666666666677,898948.8,114.94613333333334,898948612.2666667,114957.06666666667
SPHINCS+-Haraka-256s-robust,sign,1.0,13.098999999999998,13099006.066666666,0.0,13099005883.733334,0.0
SPHINCS+-Haraka-256s-robust,verify,156.86666666666667,3.0095999999999994,19197.844800000006,12.8896,19197736.533333335,12881.866666666667
SPHINCS+-Haraka-256s-simple,keypair,6.0,3.052666666666666,508787.7334666668,331.1581333333333,508787643.6666667,331187.2
SPHINCS+-Haraka-256s-simple,sign,1.0,7.697933333333334,7697846.6,0.0,7697846391.466666,0.0
SPHINCS+-Haraka-256s-simple,verify,282.6666666666667,3.004666666666667,10631.721666666668,15.548466666666664,10631601.466666667,15544.733333333334
SPHINCS+-SHA256-128f-robust,keypair,308.0,3.0028,9749.765400000002,8.597533333333333,9749648.666666666,8591.333333333334
SPHINCS+-SHA256-128f-robust,sign,13.0,3.1071999999999997,239016.0821333333,318.71173333333337,239015947.8,318670.4666666667
SPHINCS+-SHA256-128f-robust,verify,214.73333333333332,3.0064000000000006,14008.619866666668,14.177533333333333,14008482.6,14176.333333333334
SPHINCS+-SHA256-128f-simple,keypair,563.6,3.003133333333333,5328.594933333335,11.369866666666669,5328466.2,11364.066666666668
SPHINCS+-SHA256-128f-simple,sign,23.0,3.038533333333333,132106.6898,642.2123333333333,132106535.26666667,642218.4666666667
SPHINCS+-SHA256-128f-simple,verify,398.53333333333336,3.0036666666666667,7542.732999999998,16.485000000000003,7542601.733333333,16479.933333333334
SPHINCS+-SHA256-128s-robust,keypair,5.0,3.0913999999999997,618297.9733333333,193.96506666666664,618297917.4,193974.53333333333
SPHINCS+-SHA256-128s-robust,sign,1.0,4.6422,4642205.4,0.0,4642205132.8,0.0
SPHINCS+-SHA256-128s-robust,verify,634.5333333333333,3.0020000000000002,4735.704599999999,8.430666666666665,4735580.2,8420.333333333334
SPHINCS+-SHA256-128s-simple,keypair,9.0,3.1042666666666667,344928.11853333336,1339.7531333333334,344927950.8,1339804.8666666667
SPHINCS+-SHA256-128s-simple,sign,2.0,5.261133333333333,2630591.2666666666,327.06666666666666,2630591155.2,327040.0
SPHINCS+-SHA256-128s-simple,verify,1139.4666666666667,3.0013333333333327,2637.784066666667,4.825333333333333,2637661.2666666666,4805.8
SPHINCS+-SHA256-192f-robust,keypair,206.0,3.0097999999999994,14610.56113333333,8.783333333333333,14610432.8,8782.8
SPHINCS+-SHA256-192f-robust,sign,8.0,3.200666666666667,400104.175,358.03633333333335,400104025.6,358024.4666666667
SPHINCS+-SHA256-192f-robust,verify,139.66666666666666,3.0128,21577.287733333334,10.468533333333335,21577158.6,10457.333333333334
SPHINCS+-SHA256-192f-simple,keypair,379.8,3.0027999999999997,7906.404533333332,27.61493333333333,7906286.266666667,27601.866666666665
SPHINCS+-SHA256-192f-simple,sign,14.0,3.100266666666667,221452.08106666664,183.42113333333333,221451958.8,183369.53333333333
SPHINCS+-SHA256-192f-simple,verify,269.8,3.006933333333334,11147.546266666668,20.5394,11147428.066666666,20538.466666666667
SPHINCS+-SHA256-192s-robust,keypair,4.0,3.6579999999999995,914487.3333333334,165.5984,914487193.6,165539.06666666668
SPHINCS+-SHA256-192s-robust,sign,1.0,8.424733333333332,8424724.066666666,0.0,8424723848.533334,0.0
SPHINCS+-SHA256-192s-robust,verify,399.8666666666667,3.0044666666666666,7518.132400000001,6.916666666666665,7517988.0,6914.733333333334
SPHINCS+-SHA256-192s-simple,keypair,6.0,3.005000000000001,500812.3,36.14986666666667,500812165.6666667,36155.333333333336
SPHINCS+-SHA256-192s-simple,sign,1.0,4.673066666666666,4673031.466666667,0.0,4673031424.0,0.0
