Algorithm,Operation,Iterations,Total time (s),Time (us): mean,pop. stdev,CPU cycles: mean,pop. stdev.1
Dilithium2,keypair,162745.46666666667,3.0,19.64533333333333,1.611433333333333,58867.666666666664,4615.833333333333
Dilithium2,sign,57320.1,3.0,53.74446666666665,31.554299999999998,161151.5,94654.66666666667
Dilithium2,verify,166212.03333333333,3.0,18.822566666666663,1.5428,56414.2,4458.033333333334
Dilithium3,keypair,103364.3,3.0,31.800433333333334,2.2024666666666666,95338.66666666667,6484.233333333334
Dilithium3,sign,37150.63333333333,3.0,84.29693333333333,49.94503333333332,252822.86666666667,149829.96666666667
Dilithium3,verify,106476.56666666667,3.0,30.280333333333335,2.1360000000000006,90789.7,6320.933333333333
Dilithium5,keypair,66913.13333333333,3.0,49.807366666666674,2.8847333333333336,149346.96666666667,8572.966666666667
Dilithium5,sign,30510.966666666667,3.0,103.05006666666665,49.588433333333334,309077.6,148759.3
Dilithium5,verify,68007.76666666666,3.0,47.866099999999996,2.8285999999999993,143532.06666666668,8403.733333333334
Dilithium2-AES,keypair,203159.33333333334,3.0,14.766866666666669,1.3094666666666663,44236.333333333336,3673.3333333333335
Dilithium2-AES,sign,66589.2,3.0,45.054,27.183799999999998,135084.0,81539.86666666667
Dilithium2-AES,verify,199896.66666666666,3.0,15.008066666666663,1.292,44975.53333333333,3744.6
Dilithium3-AES,keypair,133906.46666666667,3.0,22.403933333333335,1.7633333333333332,67153.6,5139.933333333333
Dilithium3-AES,sign,44765.6,3.0,67.01766666666667,41.525999999999996,200989.06666666668,124572.86666666667
Dilithium3-AES,verify,134548.86666666667,3.0,22.296933333333335,1.7615333333333334,66843.46666666666,5191.733333333334
Dilithium5-AES,keypair,88055.86666666667,3.0,34.06946666666667,2.3215999999999997,102143.2,6872.733333333334
Dilithium5-AES,sign,37041.933333333334,3.0,80.99166666666665,41.77446666666667,242910.33333333334,125316.26666666666
Dilithium5-AES,verify,87051.06666666667,3.0,34.46273333333333,2.3593333333333333,103339.86666666667,6973.266666666666
Falcon-512,keypair,484.06666666666666,3.003866666666667,6206.274666666666,1460.9142666666667,18618911.666666668,4382793.6
Falcon-512,sign,12746.533333333333,3.0,235.37039999999996,6.982466666666667,706064.6666666666,20906.666666666668
Falcon-512,verify,69155.26666666666,3.0,43.38093333333333,2.7177333333333333,130079.73333333334,8106.866666666667
Falcon-1024,keypair,163.0,3.0103999999999997,18472.366400000003,4365.389266666667,55417589.13333333,13096273.466666667
Falcon-1024,sign,6361.933333333333,3.0,471.5890666666666,26.925999999999995,1414728.7333333334,80768.86666666667
Falcon-1024,verify,34132.066666666666,3.0,87.89593333333333,4.0679333333333325,263620.26666666666,12130.466666666667
SPHINCS+-Haraka-128f-robust,keypair,13743.333333333334,3.0,218.29733333333334,6.402733333333334,654831.7333333333,19176.133333333335
SPHINCS+-Haraka-128f-robust,sign,541.0,3.0027333333333335,5550.4494,21.72993333333333,16651453.066666666,65221.86666666667
SPHINCS+-Haraka-128f-robust,verify,7597.133333333333,3.0,395.0216666666667,8.559733333333334,1185016.8,25646.333333333332
SPHINCS+-Haraka-128f-simple,keypair,13731.4,3.0,218.48513333333332,6.484733333333333,655394.1333333333,19416.466666666667
SPHINCS+-Haraka-128f-simple,sign,553.9333333333333,3.0018666666666665,5419.379466666666,21.23706666666667,16258228.733333332,63711.066666666666
SPHINCS+-Haraka-128f-simple,verify,9969.866666666667,3.0,301.02593333333334,7.4563999999999995,903028.9333333333,22334.133333333335
SPHINCS+-Haraka-128s-robust,keypair,185.0,3.010866666666667,16275.3224,35.503533333333344,48826430.93333333,106507.66666666667
SPHINCS+-Haraka-128s-robust,sign,24.0,3.079533333333333,128315.71386666667,132.06193333333334,384951328.53333336,396251.2
SPHINCS+-Haraka-128s-robust,verify,20417.666666666668,3.0,147.01693333333333,5.2794,440997.26666666666,15784.266666666666
SPHINCS+-Haraka-128s-simple,keypair,221.8,3.009866666666666,13569.93613333333,42.2036,40710166.8,126608.4
SPHINCS+-Haraka-128s-simple,sign,29.0,3.0798,106203.22059999999,162.11440000000002,318613097.1333333,486300.4
SPHINCS+-Haraka-128s-simple,verify,27184.466666666667,3.0,110.4708,4.5984,331356.13333333336,13735.333333333334
SPHINCS+-Haraka-192f-robust,keypair,8643.333333333334,3.0,347.11006666666657,8.062733333333334,1041277.9333333333,24160.066666666666
SPHINCS+-Haraka-192f-robust,sign,295.0,3.004400000000001,10183.989533333332,28.836,30552233.4,86502.33333333333
SPHINCS+-Haraka-192f-robust,verify,4861.066666666667,3.0001999999999995,617.3159999999999,10.506266666666667,1851893.1333333333,31487.8
SPHINCS+-Haraka-192f-simple,keypair,8007.333333333333,3.0,374.6828666666667,8.4426,1123990.3333333333,25303.2
SPHINCS+-Haraka-192f-simple,sign,286.0,3.0038666666666667,10502.618933333333,29.120066666666673,31508121.333333332,87375.2
SPHINCS+-Haraka-192f-simple,verify,6096.2,3.0,492.2316666666666,9.413333333333332,1476644.8666666667,28201.8
SPHINCS+-Haraka-192s-robust,keypair,122.0,3.0111333333333334,24681.79233333333,57.35686666666667,74046138.6,172047.93333333332
SPHINCS+-Haraka-192s-robust,sign,12.0,3.0283333333333333,252367.98880000002,194.68566666666666,757112318.6,584148.4666666667
SPHINCS+-Haraka-192s-robust,verify,12927.133333333333,3.0,232.1917333333333,6.634266666666666,696517.7333333333,19866.933333333334
SPHINCS+-Haraka-192s-simple,keypair,157.0,3.0112666666666663,19179.820400000004,45.070133333333345,57540042.93333333,135208.13333333333
SPHINCS+-Haraka-192s-simple,sign,16.0,3.0276666666666667,189225.82093333334,160.73733333333337,567683728.2,482274.6
SPHINCS+-Haraka-192s-simple,verify,19110.533333333333,3.0,157.02666666666667,5.492466666666667,471020.73333333334,16430.0
SPHINCS+-Haraka-256f-robust,keypair,3289.4,3.0004,912.1508666666667,12.555,2736424.6,37646.2
SPHINCS+-Haraka-256f-robust,sign,146.0,3.0064666666666664,20592.0694,46.962733333333325,61776788.733333334,140891.93333333332
SPHINCS+-Haraka-256f-robust,verify,4805.6,3.0000666666666667,624.4082,10.553266666666667,1873171.9333333333,31585.533333333333
SPHINCS+-Haraka-256f-simple,keypair,4294.266666666666,3.0003999999999995,698.6926666666666,16.542133333333332,2096027.2,49611.53333333333
SPHINCS+-Haraka-256f-simple,sign,198.0,3.0088,15196.111066666666,59.50586666666666,45588747.86666667,178515.06666666668
SPHINCS+-Haraka-256f-simple,verify,6937.466666666666,3.0,432.55166666666656,8.896733333333334,1297599.0,26651.666666666668
SPHINCS+-Haraka-256s-robust,keypair,212.0,3.0034,14167.35413333333,35.4228,42502471.46666667,106244.86666666667
SPHINCS+-Haraka-256s-robust,sign,15.0,3.041866666666667,202786.17333333337,180.13199999999998,608365289.2,540441.1333333333
SPHINCS+-Haraka-256s-robust,verify,9183.8,3.0,326.8402666666667,7.8434,980464.1333333333,23491.466666666667
SPHINCS+-Haraka-256s-simple,keypair,229.06666666666666,3.0031999999999996,13110.833066666666,77.33833333333334,39332866.2,232025.06666666668
SPHINCS+-Haraka-256s-simple,sign,17.0,3.059333333333333,179968.051,238.64433333333335,539910097.0666667,715913.1333333333
SPHINCS+-Haraka-256s-simple,verify,12745.4,3.0,235.46779999999998,6.751266666666667,706342.8666666667,20216.733333333334
SPHINCS+-SHA256-128f-robust,keypair,4007.866666666667,3.000333333333333,748.6284666666666,11.3864,2245856.2,34124.333333333336
SPHINCS+-SHA256-128f-robust,sign,144.06666666666666,3.002533333333333,20841.457133333333,90.71806666666667,62524956.733333334,272160.5333333333
SPHINCS+-SHA256-128f-robust,verify,846.8,3.0015333333333336,3546.8625333333334,13.566866666666666,10640651.2,40674.666666666664
SPHINCS+-SHA256-128f-simple,keypair,7218.866666666667,3.0,415.6112666666667,8.812999999999999,1246791.4,26402.0
SPHINCS+-SHA256-128f-simple,sign,259.0,3.0076666666666667,11612.783600000002,51.775,34838667.46666667,155278.53333333333
SPHINCS+-SHA256-128f-simple,verify,1615.7333333333333,3.000666666666666,1857.9165333333333,15.4426,5573749.533333333,46319.066666666666
SPHINCS+-SHA256-128s-robust,keypair,62.0,3.0427999999999997,49075.572133333335,70.2346,147228293.8,210714.33333333334
