Algorithm,Operation,Iterations,Total time (s),Time (us): mean,pop. stdev,CPU cycles: mean,pop. stdev.1
Dilithium2,keypair,162516.56666666668,3.0,19.7079,1.6129333333333333,59067.933333333334,4613.5
Dilithium2,sign,57207.1,3.0,53.79366666666666,31.5971,161311.13333333333,94784.03333333334
Dilithium2,verify,164143.03333333333,3.0,18.977733333333333,1.5501,56881.76666666667,4444.466666666666
Dilithium3,keypair,103223.86666666667,3.0,31.898933333333336,2.1863,95642.63333333333,6448.533333333334
Dilithium3,sign,37017.73333333333,3.0,84.53313333333332,50.15153333333333,253546.86666666667,150450.6
Dilithium3,verify,105855.86666666667,3.0,30.415833333333335,2.108633333333333,91197.53333333334,6204.733333333334
Dilithium5,keypair,66937.86666666667,3.0,49.7392,2.863566666666666,149156.5,8518.6
Dilithium5,sign,30503.666666666668,3.0,103.06713333333332,49.6898,309135.26666666666,149066.66666666666
Dilithium5,verify,68099.4,3.0,47.76906666666667,2.7989666666666664,143249.23333333334,8299.233333333334
Dilithium2-AES,keypair,203415.06666666668,3.0,14.748266666666664,1.3160666666666667,44192.8,3683.0
Dilithium2-AES,sign,66273.86666666667,3.0,45.26773333333334,27.365533333333328,135743.53333333333,82090.2
Dilithium2-AES,verify,195686.26666666666,3.0,15.3308,1.3189333333333333,45942.53333333333,3755.5333333333333
Dilithium3-AES,keypair,134000.93333333332,3.0,22.387866666666664,1.7636000000000003,67114.33333333333,5141.666666666667
Dilithium3-AES,sign,44537.333333333336,3.0,67.36073333333333,41.75086666666667,202025.73333333334,125246.26666666666
Dilithium3-AES,verify,133505.4,3.0,22.4712,1.7524000000000002,67363.33333333333,5075.133333333333
Dilithium5-AES,keypair,87992.8,3.0,34.09386666666667,2.300866666666667,102223.0,6812.0
Dilithium5-AES,sign,37028.0,3.0,81.02173333333334,41.91453333333334,242998.73333333334,125738.4
Dilithium5-AES,verify,87091.2,3.0,34.44713333333333,2.3432666666666666,103288.93333333333,6929.6
Falcon-512,keypair,489.46666666666664,3.003666666666667,6137.259000000001,1439.2465333333332,18411881.0,4317794.866666666
Falcon-512,sign,12843.8,3.0,233.58353333333335,6.974933333333334,700681.8,20888.733333333334
Falcon-512,verify,69815.13333333333,3.0,42.971066666666665,2.670266666666667,128849.66666666667,7888.866666666667
Falcon-1024,keypair,163.0,3.0094666666666665,18471.483,4385.994666666666,55414977.13333333,13158148.6
Falcon-1024,sign,6373.466666666666,3.000066666666667,470.7389999999999,9.753200000000001,1412130.2666666666,29231.066666666666
Falcon-1024,verify,34828.0,3.0,86.13900000000002,3.989266666666666,258352.86666666667,11876.8
SPHINCS+-Haraka-128f-robust,keypair,13878.0,3.0,216.17700000000005,6.499933333333332,648470.2,19460.333333333332
SPHINCS+-Haraka-128f-robust,sign,546.0666666666667,3.0016000000000003,5496.646599999999,22.73206666666666,16490016.533333333,68182.46666666666
SPHINCS+-Haraka-128f-robust,verify,7653.2,3.0,392.107,8.522599999999999,1176271.7333333334,25532.066666666666
SPHINCS+-Haraka-128f-simple,keypair,13748.6,3.0,218.21419999999998,6.474066666666666,654580.6666666666,19376.266666666666
SPHINCS+-Haraka-128f-simple,sign,555.6,3.003133333333333,5405.3126,21.662266666666664,16216003.6,64958.8
SPHINCS+-Haraka-128f-simple,verify,10344.0,3.0,290.1682666666666,7.356533333333334,870453.7333333333,22034.866666666665
SPHINCS+-Haraka-128s-robust,keypair,188.0,3.0147333333333335,16035.620533333333,38.394400000000005,48107371.0,115200.93333333333
SPHINCS+-Haraka-128s-robust,sign,24.0,3.0397333333333334,126660.18886666666,135.50373333333334,379985068.73333335,406643.13333333336
SPHINCS+-Haraka-128s-robust,verify,20026.333333333332,3.0,149.90393333333336,5.34,449658.93333333335,15976.733333333334
SPHINCS+-Haraka-128s-simple,keypair,218.4,3.0078000000000005,13771.760999999999,54.71973333333335,41315701.733333334,164150.53333333333
SPHINCS+-Haraka-128s-simple,sign,28.133333333333333,3.0252,107529.21746666665,231.68626666666663,322591404.3333333,695206.5333333333
SPHINCS+-Haraka-128s-simple,verify,27529.0,3.0,109.05546666666667,4.434733333333333,327112.93333333335,13240.933333333332
SPHINCS+-Haraka-192f-robust,keypair,8870.066666666668,3.0,338.23673333333335,8.035866666666665,1014646.4666666667,24088.666666666668
SPHINCS+-Haraka-192f-robust,sign,301.0,3.0068,9989.075533333333,29.365999999999996,29967515.733333334,88047.6
SPHINCS+-Haraka-192f-robust,verify,4814.2,3.0001333333333333,623.3150666666666,10.546999999999999,1869907.1333333333,31606.933333333334
SPHINCS+-Haraka-192f-simple,keypair,8044.0,3.0,372.97286666666673,8.447866666666666,1118877.5333333334,25318.733333333334
SPHINCS+-Haraka-192f-simple,sign,286.93333333333334,3.0032666666666668,10467.184666666666,38.110866666666666,31401858.533333335,114326.33333333333
SPHINCS+-Haraka-192f-simple,verify,6112.8,3.0,490.86733333333336,9.482800000000001,1472554.5333333334,28413.933333333334
SPHINCS+-Haraka-192s-robust,keypair,122.0,3.0072666666666668,24650.47546666667,65.88713333333332,73952258.93333334,197686.6
SPHINCS+-Haraka-192s-robust,sign,12.0,3.027,252252.98320000005,200.6354,756768000.7333333,601938.0666666667
SPHINCS+-Haraka-192s-robust,verify,12812.6,3.0,234.21093333333337,6.651866666666667,702579.4666666667,19920.8
SPHINCS+-Haraka-192s-simple,keypair,158.13333333333333,3.005666666666667,19007.015533333335,46.75613333333334,57021670.0,140275.73333333334
SPHINCS+-Haraka-192s-simple,sign,16.0,3.0081333333333338,188004.9834,198.2788666666667,564021684.3333334,594860.0666666667
SPHINCS+-Haraka-192s-simple,verify,18928.066666666666,3.0,158.54666666666662,5.473600000000001,475582.4666666667,16368.333333333334
SPHINCS+-Haraka-256f-robust,keypair,3257.4,3.000266666666667,921.0779999999999,13.565066666666667,2763204.1333333333,40681.066666666666
SPHINCS+-Haraka-256f-robust,sign,145.0,3.0052,20726.379666666668,51.9328,62179755.2,155797.0
SPHINCS+-Haraka-256f-robust,verify,4804.666666666667,3.0002,624.5672666666667,10.814333333333334,1873655.5333333334,32413.0
